Full of life & exciting [Latitude],Full of life & exciting [Longitude],Full of life & exciting [# times visited],Full of life & exciting [Duration],Chaotic & restless [Latitude],Chaotic & restless [Longitude],Chaotic & restless [# times visited],Chaotic & restless [Duration],Calm & tranquil [Latitude],Calm & tranquil [Longitude],Calm & tranquil [# times visited],Calm & tranquil [Duration],Boring & lifeless [Latitude],Boring & lifeless [Longitude],Boring & lifeless [# times visited],Boring & lifeless [Duration]
1.2880800360059903,103.84472753698728,2,60.0,1.2839397484097317,103.85002758200072,4,20,1.29408665889556,103.84674455816648,1,60,1.2746937970116654,103.84816076452636,1,5
1.290654304696247,103.85283853704831,4,10.0,1.2923407,103.8508826,4,30,1.2937434236844243,103.84545709783934,4,90,1.2955025036502823,103.85489847357177,4,7
1.2853341465366466,103.86090662176512,4,120.0,1.285677382881917,103.84464170629882,4,60,1.290868826969553,103.85155107672118,4,120,1.2913836803516443,103.84644415075682,4,20
1.2899022850452828,103.84516408672486,4,90.0,1.306356095542477,103.85273864498292,4,240,1.2936993277296636,103.8456576131836,4,180,1.2898808328106282,103.87286594143067,1,30
1.2842759,103.8600338,4,120.0,1.3051345,103.8509134,4,120,1.2938682,103.8466283,4,60,1.2761227,103.8464673,3,30
1.2817247990524772,103.8436653822174,4,30.0,1.30394928827339,103.83380558187864,2,120,1.2939150412958065,103.8464012354126,1,180,1.2717548217364014,103.84261395628356,1,60
1.290044641993339,103.84599140237732,2,120.0,1.307301161711801,103.85200774127809,1,30,1.295727656880615,103.8519811232788,1,180,1.2842262726250886,103.85095846190184,1,60
1.2861922373132733,103.85013487036132,4,120.0,1.2840041052630928,103.8514652460327,4,40,1.2797994541079218,103.86249448950194,4,150,1.2754660819290224,103.84833242590332,4,30
1.2841822843399535,103.85149950566388,4,20.0,1.2810067424910685,103.85043552129052,4,30,1.2908247312922003,103.8516514564805,4,60,1.2871349452811045,103.85442664895952,4,20
1.3063882736848094,103.85070821275863,3,30.0,1.3100592607063388,103.85520895948564,2,40,1.2922352144854672,103.84764781227264,3,120,1.2911465143464649,103.8511668705002,1,10
1.2899451895140963,103.85636499157106,4,30.0,1.28923726568651,103.84617259731446,3,120,1.2871349452811045,103.8517086767212,4,30,1.291468297687335,103.86308124294436,4,5
1.283553607255443,103.85144378836058,4,10.0,1.279421356950367,103.84670030171776,2,30,1.2808398913885206,103.86332060987851,2,90,1.285489675511326,103.85248716766738,1,15
1.2909534443223931,103.8449709676758,1,90.0,1.2904814953129482,103.84595802059329,1,90,1.2893659791243486,103.85269572963868,1,30,1.2780391717553503,103.84887626400148,1,10
1.2938935890950307,103.8550486772766,1,60.0,1.2807004513651137,103.83580114538572,2,120,1.2813011160272847,103.86236574346924,2,120,1.2728810717815466,103.83860137159728,1,5
1.281590722153425,103.85412599737548,1,120.0,1.30230164632386,103.8416235708252,2,30,1.2938682,103.8466283,1,120,1.3018444,103.864928,1,30
1.3010079478595504,103.83540973491822,2,15.0,1.2816872575214346,103.84953405554198,1,30,1.2979051474836505,103.85451223547362,4,180,1.2876938954779913,103.8514652460327,1,30
1.2808291652331285,103.87592699224852,4,30.0,1.280405482059824,103.84979691202544,4,30,1.282051946656901,103.85451223547362,4,30,1.279745823308824,103.84840752775573,4,5
